source_row_id,Family,Type,Sub Type,DM Mean (% FM),VS Mean (% FM),VS/DM Mean (% FM),BMP exp Mean (Nm3 CH4/t VS),Biodegradation %,C/N,Carbon Mean (% DM),Hydrogen Mean (% DM),Nitrogen Mean (% DM),Sulfur Mean (% DM),Oxygen Mean (% DM),Cellulose Mean (g/100g DM),Hemicelluloses Mean (g/100g DM),Lignin Mean (g/100g DM),Protein Calculated (% DM),COD Calculated (g COD/g CxHyOz),source_label,BMP_VS,BMP_DM,VS_DM_from_components,BMP_DM_from_components,BMP_DM_reported_ratio_delta,VS_DM_rounding_delta,included_DM_ge_15,complete_model_inputs
1,LCM,Green waste,,80.6,36.9,0.46,63.1,7,29.2,34.5,4.5,1.2,0.3,5.3,31.9,13.8,17.9,2.0,1.3,LCM | Green waste | nan,63.1,29.026000000000003,0.45781637717121587,28.888213399503723,0.0,0.0021836228287841486,True,True
101,LCM,Straw,Plant residues,87.2,83.2,0.95,298.9,69,89.3,42.9,6.2,0.5,0.1,45.6,28.5,17.5,16.3,4.4,1.2,LCM | Straw | Plant residues,298.9,283.955,0.9541284403669725,285.18899082568805,0.0,-0.0041284403669725744,True,True
102,LCM,Straw,Plant residues,86.3,82.3,0.95,280.5,69,68.3,41.5,6.0,0.6,0.2,47.1,28.5,17.5,16.3,4.4,1.2,LCM | Straw | Plant residues,280.5,266.47499999999997,0.9536500579374276,267.4988412514484,0.0,-0.0036500579374276754,True,True
103,LCM,Straw,,86.5,82.2,0.95,277.6,67,64.0,43.0,5.7,0.7,0.1,45.5,30.9,18.3,17.0,3.4,1.2,LCM | Straw | nan,277.6,263.72,0.9502890173410405,263.80023121387285,0.0,-0.0002890173410405872,True,True
104,LCM,Straw,,88.3,84.0,0.95,302.1,72,73.6,42.3,6.0,0.6,0.3,46.0,30.9,18.3,17.0,3.4,1.2,LCM | Straw | nan,302.1,286.995,0.9513023782559457,287.3884484711212,0.0,-0.001302378255945702,True,True
105,LCM,Straw,,90.6,85.8,0.95,240.0,60,406.3,41.2,5.7,0.1,0.8,46.9,30.9,18.3,17.0,3.4,1.2,LCM | Straw | nan,240.0,228.0,0.9470198675496689,227.28476821192055,0.0,0.002980132450331019,True,True
106,LCM,Bagasse,,43.2,40.9,0.95,173.7,39,376.8,44.6,5.9,0.1,0.2,44.0,32.1,15.7,22.8,0.7,1.3,LCM | Bagasse | nan,173.7,165.015,0.9467592592592592,164.45208333333332,0.0,0.0032407407407407662,True,True
107,ENSI,Sorghum,Sucro variety,31.3,29.9,0.96,332.7,79,73.8,43.5,5.8,0.6,0.2,45.6,25.1,12.1,18.1,10.6,1.3,ENSI | Sorghum | Sucro variety,332.7,319.392,0.9552715654952076,317.81884984025555,0.0,0.004728434504792323,True,True
108,ENSI,Maize,,35.2,33.9,0.96,272.1,63,47.5,42.6,6.5,0.9,0.1,46.2,47.7,11.5,11.4,5.6,1.3,ENSI | Maize | nan,272.1,261.216,0.9630681818181817,262.05085227272724,0.0,-0.0030681818181816922,True,True
109,ENSI,Maize,,28.5,27.2,0.96,376.3,89,43.3,43.1,5.9,1.0,0.1,45.4,47.7,11.5,11.4,5.6,1.3,ENSI | Maize | nan,376.3,361.248,0.9543859649122807,359.1354385964912,0.0,0.0056140350877192935,True,True
110,ENSI,Maize,,33.6,32.4,0.96,383.9,85,45.6,44.6,6.4,1.0,0.1,44.4,47.7,11.5,11.4,5.6,1.3,ENSI | Maize | nan,383.9,368.544,0.9642857142857142,370.18928571428563,0.0,-0.004285714285714226,True,True
111,CER,Mix,Cereals,75.6,72.5,0.96,285.9,64,29.4,43.0,6.7,1.5,0.1,44.5,50.2,7.9,14.2,9.1,1.3,CER | Mix | Cereals,285.9,274.46399999999994,0.9589947089947091,274.1765873015873,0.0,0.001005291005290898,True,True
112,LCM,Straw,Plant residues,89.0,85.1,0.96,292.7,70,89.0,42.5,6.1,0.5,0.2,46.4,28.5,17.5,16.3,4.4,1.2,LCM | Straw | Plant residues,292.7,280.99199999999996,0.9561797752808988,279.87382022471905,0.0,0.0038202247191011507,True,True
113,LCM,Straw,,85.0,81.2,0.96,309.7,72,162.8,43.8,5.9,0.3,0.1,45.6,30.9,18.3,17.0,3.4,1.2,LCM | Straw | nan,309.7,297.31199999999995,0.9552941176470588,295.8545882352941,0.0,0.004705882352941115,True,True
114,LCM,Straw,Waste,84.9,81.3,0.96,293.7,67,126.8,44.2,5.9,0.3,0.1,45.2,25.3,24.1,21.3,3.4,1.3,LCM | Straw | Waste,293.7,281.952,0.9575971731448762,281.24628975265017,0.0,0.0024028268551237186,True,True
115,ENSI,Maize,,36.5,35.3,0.97,336.0,82,47.9,41.8,6.4,0.9,0.2,47.4,47.7,11.5,11.4,5.6,1.3,ENSI | Maize | nan,336.0,325.92,0.9671232876712328,324.95342465753424,0.0,0.0028767123287671836,True,True
116,ENSI,Maize,,33.0,32.1,0.97,319.1,73,44.4,44.4,6.4,1.0,0.1,45.4,47.7,11.5,11.4,5.6,1.3,ENSI | Maize | nan,319.1,309.527,0.9727272727272728,310.39727272727276,0.0,-0.0027272727272728003,True,True
117,CER,Maize Residues,Follicle,73.9,71.7,0.97,279.2,64,33.1,43.1,6.8,1.3,0.2,45.6,49.0,10.8,12.0,8.2,1.3,CER | Maize Residues | Follicle,279.2,270.82399999999996,0.9702300405953992,270.88822733423547,0.0,-0.00023004059539921684,True,True
118,CER,Wheat,Contaminated culture,86.2,84.0,0.97,317.7,78,22.9,41.2,6.8,1.8,0.2,47.4,59.3,6.0,5.5,11.3,1.2,CER | Wheat | Contaminated culture,317.7,308.169,0.974477958236659,309.59164733178653,0.0,-0.004477958236658974,True,True
119,CER,Maize,Fresh residue from sweet corn,23.9,23.3,0.97,306.0,71,43.7,43.8,6.4,1.0,0.1,46.3,29.5,16.1,15.4,5.1,1.2,CER | Maize | Fresh residue from sweet corn,306.0,296.82,0.9748953974895398,298.3179916317992,0.0,-0.004895397489539821,True,True
120,LCM,Straw,,87.6,84.6,0.97,274.1,67,77.8,42.7,6.0,0.5,0.3,47.1,30.9,18.3,17.0,3.4,1.2,LCM | Straw | nan,274.1,265.877,0.9657534246575342,264.71301369863016,0.0,0.004246575342465753,True,True
121,LCM,Straw,,88.8,86.0,0.97,290.6,69,132.0,43.0,6.3,0.3,0.1,47.1,30.9,18.3,17.0,3.4,1.2,LCM | Straw | nan,290.6,281.882,0.9684684684684685,281.43693693693695,0.0,0.0015315315315315159,True,True
122,ENSI,Maize,,19.8,19.4,0.98,418.0,90,42.1,46.8,6.3,1.1,0.2,43.4,47.7,11.5,11.4,5.6,1.3,ENSI | Maize | nan,418.0,409.64,0.9797979797979797,409.5555555555555,0.0,0.00020202020202031434,True,True
123,ENSI,Mix,Residue,23.3,22.9,0.98,371.5,81,62.4,45.5,6.6,0.7,0.1,45.1,13.5,9.0,14.0,4.6,1.3,ENSI | Mix | Residue,371.5,364.07,0.982832618025751,365.12231759656646,0.0,-0.002832618025750966,True,True
124,CER,Maize,Fresh residue from sweet corn,24.6,24.2,0.98,314.0,77,53.1,43.5,6.0,0.8,0.1,47.9,29.5,16.1,15.4,5.1,1.2,CER | Maize | Fresh residue from sweet corn,314.0,307.71999999999997,0.9837398373983739,308.8943089430894,0.0,-0.003739837398373913,True,True
125,CER,Maize,Fresh residue from sweet corn,21.9,21.4,0.98,262.7,63,43.3,43.5,6.2,1.0,0.2,46.6,29.5,16.1,15.4,5.1,1.2,CER | Maize | Fresh residue from sweet corn,262.7,257.44599999999997,0.9771689497716894,256.7022831050228,0.0,0.0028310502283105388,True,True
126,CER,Maize,Fresh residue from sweet corn,23.6,23.1,0.98,312.3,69,36.9,44.6,6.7,1.2,0.6,44.7,29.5,16.1,15.4,5.1,1.2,CER | Maize | Fresh residue from sweet corn,312.3,306.05400000000003,0.978813559322034,305.68347457627124,0.0,0.0011864406779660275,True,True
127,CER,Maize,Fresh residue from sweet corn,21.9,21.4,0.98,263.7,60,57.8,44.0,6.7,0.8,0.04,46.4,29.5,16.1,15.4,5.1,1.2,CER | Maize | Fresh residue from sweet corn,263.7,258.426,0.9771689497716894,257.67945205479447,0.0,0.0028310502283105388,True,True
128,CER,Maize,Fresh residue from sweet corn,26.5,26.0,0.98,306.8,71,56.7,43.7,6.7,0.8,0.1,46.9,29.5,16.1,15.4,5.1,1.2,CER | Maize | Fresh residue from sweet corn,306.8,300.664,0.9811320754716981,301.011320754717,0.0,-0.0011320754716981352,True,True
129,CER,Maize,Flour,87.0,85.4,0.98,325.4,80,37.8,41.4,6.8,1.1,0.1,48.8,60.9,7.2,6.2,6.8,1.2,CER | Maize | Flour,325.4,318.892,0.981609195402299,319.4156321839081,0.0,-0.0016091954022989796,True,True
130,LCM,Maize Residue,Cob,28.4,27.7,0.98,272.2,63,497.8,44.1,6.3,0.1,0.1,47.2,29.0,26.0,19.8,0.6,1.2,LCM | Maize Residue | Cob,272.2,266.756,0.9753521126760564,265.49084507042255,0.0,0.004647887323943611,True,True
131,CER,Maize,Fresh residue from sweet corn,26.7,26.3,0.99,335.5,78,49.6,44.6,6.3,0.9,0.1,46.5,29.5,16.1,15.4,5.1,1.2,CER | Maize | Fresh residue from sweet corn,335.5,332.145,0.9850187265917604,330.4737827715356,0.0,0.004981273408239617,True,True
